iter	Passed	Remaining
0	3	3652
1	6	3259
2	9	3140
3	12	3031
4	15	3169
5	19	3186
6	22	3206
7	26	3238
8	29	3261
9	33	3268
10	36	3265
11	39	3251
12	42	3226
13	46	3242
14	49	3248
15	52	3242
16	56	3243
17	59	3252
18	62	3245
19	65	3220
20	68	3192
21	71	3166
22	74	3145
23	76	3131
24	79	3109
25	82	3091
26	85	3096
27	89	3102
28	92	3105
29	94	3061
30	97	3057
31	99	3016
32	102	3015
33	105	3006
34	108	2998
35	111	2986
36	114	2975
37	117	2965
38	119	2955
39	122	2941
40	125	2945
41	129	2948
42	132	2957
43	136	2965
44	140	2971
45	143	2967
46	145	2958
47	148	2950
48	151	2945
49	154	2944
50	157	2936
51	160	2926
52	163	2920
53	166	2920
54	170	2923
55	173	2924
56	176	2926
57	180	2930
58	183	2932
59	187	2931
60	190	2931
61	193	2931
62	196	2922
63	199	2912
64	202	2906
65	204	2898
66	207	2890
67	210	2889
68	213	2883
69	216	2876
70	219	2869
71	222	2861
72	224	2854
73	227	2848
74	230	2842
75	233	2836
76	235	2828
77	238	2822
78	241	2817
79	244	2811
80	247	2807
81	248	2786
82	251	2779
83	254	2772
84	257	2767
85	260	2763
86	262	2756
87	265	2752
88	268	2746
89	271	2742
90	274	2738
91	277	2736
92	280	2738
93	284	2739
94	287	2738
95	290	2737
96	294	2736
97	297	2737
98	300	2735
99	303	2734
100	307	2734
101	310	2731
102	313	2726
103	315	2721
104	318	2715
105	321	2712
106	324	2711
107	327	2703
108	331	2706
109	334	2709
110	338	2712
111	342	2714
112	345	2714
113	349	2715
114	352	2715
115	356	2716
116	360	2717
117	362	2711
118	366	2711
119	369	2711
120	373	2712
121	376	2711
122	380	2712
123	384	2712
124	387	2712
125	390	2710
126	393	2706
127	396	2703
128	400	2702
129	403	2700
130	406	2699
131	410	2696
132	413	2695
133	416	2694
134	420	2692
135	423	2690
136	426	2689
137	430	2687
138	433	2686
139	437	2684
140	440	2682
141	443	2681
142	447	2679
143	450	2678
144	453	2676
145	457	2674
146	460	2671
147	463	2666
148	466	2661
149	468	2656
150	471	2653
151	474	2649
152	477	2644
153	480	2639
154	483	2635
155	486	2631
156	489	2629
157	492	2624
158	495	2620
159	498	2614
160	500	2610
161	503	2605
162	506	2599
163	509	2595
164	511	2590
165	514	2585
166	517	2580
167	520	2576
168	523	2571
169	525	2567
170	527	2555
171	529	2550
172	532	2547
173	535	2543
174	538	2539
175	541	2534
176	544	2529
177	547	2526
178	549	2521
179	552	2518
180	556	2517
181	559	2515
182	562	2513
183	566	2511
184	569	2509
185	572	2507
186	576	2505
187	577	2495
188	580	2490
189	583	2486
190	586	2482
191	588	2478
192	591	2474
193	594	2470
194	597	2465
195	600	2461
196	602	2457
197	605	2453
198	608	2449
199	611	2444
200	613	2440
201	616	2436
202	619	2432
203	621	2424
204	624	2422
205	627	2420
206	631	2418
207	634	2416
208	638	2415
209	641	2413
210	645	2412
211	648	2410
212	651	2408
213	655	2406
214	658	2404
215	661	2401
216	665	2399
217	668	2398
218	671	2395
219	674	2392
220	678	2391
221	681	2389
222	685	2387
223	688	2384
224	691	2382
225	695	2381
226	698	2379
227	701	2376
228	705	2374
229	708	2372
